Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-02-06 09:30:00-05:00,587.0800170898438,587.75,583.1500244140625,583.2100219726562,63007,0.0,0.0
2025-02-06 09:45:00-05:00,583.0999755859375,585.969970703125,582.8300170898438,585.969970703125,7895,0.0,0.0
2025-02-06 10:00:00-05:00,586.1599731445312,586.1599731445312,583.7000122070312,584.5499877929688,16210,0.0,0.0
2025-02-06 10:15:00-05:00,585.1099853515625,585.1099853515625,583.7899780273438,584.5916748046875,9048,0.0,0.0
2025-02-06 10:30:00-05:00,584.0,584.25,582.4000244140625,582.4000244140625,18975,0.0,0.0
2025-02-06 10:45:00-05:00,582.5399780273438,583.5900268554688,581.9299926757812,582.64501953125,13573,0.0,0.0
2025-02-06 11:00:00-05:00,582.64501953125,583.4000244140625,581.6199951171875,583.4000244140625,24604,0.0,0.0
2025-02-06 11:15:00-05:00,583.155029296875,583.5499877929688,582.2999877929688,582.2999877929688,15525,0.0,0.0
2025-02-06 11:30:00-05:00,582.4199829101562,582.4199829101562,581.5,581.6699829101562,6248,0.0,0.0
2025-02-06 11:45:00-05:00,581.385009765625,582.47998046875,581.3300170898438,581.3300170898438,11763,0.0,0.0
2025-02-06 12:00:00-05:00,581.3200073242188,582.6300048828125,580.97998046875,582.2999877929688,17159,0.0,0.0
2025-02-06 12:15:00-05:00,582.010009765625,583.3099975585938,582.010009765625,582.739990234375,9945,0.0,0.0
2025-02-06 12:30:00-05:00,582.6599731445312,583.5800170898438,581.6439208984375,583.4299926757812,20304,0.0,0.0
2025-02-06 12:45:00-05:00,583.4349975585938,583.7156982421875,582.8300170898438,582.905029296875,9175,0.0,0.0
2025-02-06 13:00:00-05:00,582.9149780273438,583.3400268554688,582.0910034179688,582.3200073242188,15164,0.0,0.0
2025-02-06 13:15:00-05:00,583.1500244140625,583.4550170898438,582.719970703125,582.739990234375,9952,0.0,0.0
2025-02-06 13:30:00-05:00,582.489990234375,583.1400146484375,581.47998046875,581.47998046875,10144,0.0,0.0
2025-02-06 13:45:00-05:00,580.97998046875,581.510009765625,580.97998046875,581.2899780273438,7636,0.0,0.0
2025-02-06 14:00:00-05:00,581.2949829101562,581.3699951171875,580.2899780273438,580.5399780273438,10470,0.0,0.0
2025-02-06 14:15:00-05:00,580.4099731445312,581.010009765625,580.4099731445312,580.6849975585938,6457,0.0,0.0
2025-02-06 14:30:00-05:00,580.6799926757812,580.6799926757812,579.47998046875,580.5900268554688,14129,0.0,0.0
2025-02-06 14:45:00-05:00,580.5999755859375,582.0999755859375,580.5999755859375,581.4600219726562,9110,0.0,0.0
2025-02-06 15:00:00-05:00,581.7550048828125,583.3300170898438,581.5999755859375,583.0750122070312,16475,0.0,0.0
2025-02-06 15:15:00-05:00,583.0999755859375,585.1699829101562,583.0999755859375,585.1699829101562,15305,0.0,0.0
2025-02-06 15:30:00-05:00,585.3400268554688,585.8900146484375,585.0499877929688,585.4400024414062,20845,0.0,0.0
2025-02-06 15:45:00-05:00,585.4249877929688,587.489990234375,585.4249877929688,587.469970703125,100568,0.0,0.0
