Date,S&P 500,NASDAQ,Dow Jones,Russell 2000,DAX,FTSE 100,CAC 40,Hang Seng,Nikkei 225,Sensex,Bovespa,MS
2024-08-20,5597.1201171875,17816.939453125,40834.96875,2142.18994140625,18357.51953125,8273.2998046875,7485.72998046875,17511.080078125,38062.921875,80802.859375,136087.0,99.32852172851562
2024-08-21,5620.85009765625,17918.990234375,40890.48828125,2170.56005859375,18448.94921875,8283.400390625,7524.72021484375,17391.009765625,37951.80078125,80905.296875,136464.0,99.23981475830078
2024-08-22,5570.64013671875,17619.349609375,40712.78125,2150.030029296875,18493.390625,8288.0,7524.10986328125,17641.0,38211.01171875,81053.1875,135173.0,99.11168670654295
2024-08-23,5634.60986328125,17877.7890625,41175.078125,2218.699951171875,18633.099609375,8327.7998046875,7577.0400390625,17612.099609375,38364.26953125,81086.2109375,135608.0,100.42253875732422
2024-08-27,5625.7998046875,17754.8203125,41250.5,2203.0,18681.810546875,8345.5,7565.77978515625,17874.669921875,38288.62109375,81711.7578125,136776.0,100.60979461669922
2024-08-28,5592.18017578125,17556.029296875,41091.421875,2188.639892578125,18782.2890625,8343.900390625,7577.669921875,17692.44921875,38371.76171875,81785.5625,137344.0,100.72806549072266
2024-08-29,5591.9599609375,17516.4296875,41335.05078125,2202.97998046875,18912.5703125,8379.599609375,7640.9501953125,17786.3203125,38362.53125,82134.609375,136041.0,101.12230682373048
2024-08-30,5648.39990234375,17713.619140625,41563.078125,2217.6298828125,18906.919921875,8376.599609375,7630.9501953125,17989.0703125,38647.75,82365.7734375,136004.0,102.11775970458984
2024-09-03,5528.93017578125,17136.30078125,40936.9296875,2149.2099609375,18747.109375,8298.5,7575.10009765625,17651.490234375,38686.30859375,82555.4375,134353.0,97.84026336669922
2024-09-04,5520.06982421875,17084.30078125,40974.96875,2145.219970703125,18591.849609375,8269.599609375,7500.97021484375,17457.33984375,37047.609375,82352.640625,136111.0,98.70759582519533
2024-09-05,5503.41015625,17127.66015625,40755.75,2132.050048828125,18576.5,8241.7001953125,7431.9599609375,17444.30078125,36657.08984375,82201.15625,136502.0,98.12609100341795
2024-09-09,5471.0498046875,16884.599609375,40829.58984375,2097.780029296875,18443.560546875,8270.7998046875,7425.259765625,17196.9609375,36215.75,81559.5390625,134737.0,96.7659683227539
2024-09-10,5495.52001953125,17025.880859375,40736.9609375,2097.43994140625,18265.919921875,8206.0,7407.5498046875,17234.08984375,36159.16015625,81921.2890625,134320.0,95.22843933105467
2024-09-11,5554.1298828125,17395.529296875,40861.7109375,2103.85009765625,18330.26953125,8193.900390625,7396.830078125,17108.7109375,35619.76953125,81523.15625,134677.0,95.6325225830078
2024-09-12,5595.759765625,17569.6796875,41096.76953125,2129.429931640625,18518.390625,8241.0,7435.06982421875,17240.390625,36833.26953125,82962.7109375,134029.0,95.2481460571289
2024-09-13,5626.02001953125,17683.98046875,41393.78125,2182.489990234375,18699.400390625,8273.099609375,7465.25,17369.08984375,36581.76171875,82890.9375,134882.0,96.8349609375
2024-09-17,5634.580078125,17628.060546875,41606.1796875,2205.47998046875,18726.080078125,8309.900390625,7487.419921875,17660.01953125,36203.21875,83079.65625,134960.0,98.4020538330078
2024-09-19,5713.64013671875,18013.98046875,42025.19140625,2252.7099609375,19002.380859375,8328.7001953125,7615.41015625,18013.16015625,37155.328125,83184.796875,133123.0,99.27924346923828
2024-09-20,5702.5498046875,17948.3203125,42063.359375,2227.889892578125,18720.009765625,8230.0,7500.259765625,18258.5703125,37723.91015625,84544.3125,131065.0,100.99417877197266
2024-09-24,5732.93017578125,18074.51953125,42208.21875,2223.989990234375,18996.630859375,8282.7998046875,7604.009765625,19000.560546875,37940.58984375,84914.0390625,132156.0,101.10260009765624
2024-09-25,5722.259765625,18082.2109375,41914.75,2197.449951171875,18918.5,8268.7001953125,7565.6201171875,19129.099609375,37870.26171875,85169.8671875,131586.0,100.86605072021484
2024-09-26,5745.3701171875,18190.2890625,42175.109375,2209.8701171875,19238.359375,8284.900390625,7742.08984375,19924.580078125,38925.62890625,85836.1171875,133010.0,103.09349822998048
2024-09-27,5738.169921875,18119.58984375,42313.0,2224.699951171875,19473.630859375,8320.7998046875,7791.7900390625,20632.30078125,39829.55859375,85571.8515625,132730.0,102.61055755615234
2024-09-30,5762.47998046875,18189.169921875,42330.1484375,2229.969970703125,19324.9296875,8237.0,7635.75,21133.6796875,37919.55078125,84299.78125,131816.0,102.73868560791016
2024-10-03,5699.93994140625,17918.48046875,42011.58984375,2180.14990234375,19015.41015625,8282.5,7477.77978515625,22113.509765625,38552.05859375,82497.1015625,131672.0,103.06393432617188
2024-10-04,5751.06982421875,18137.849609375,42352.75,2212.800048828125,19120.9296875,8280.599609375,7541.35986328125,22736.869140625,38635.62109375,81688.453125,131792.0,106.32626342773438
2024-10-07,5695.93994140625,17923.900390625,41954.23828125,2193.090087890625,19104.099609375,8303.599609375,7576.02001953125,23099.779296875,39332.73828125,81050.0,132018.0,106.0897216796875
2024-10-08,5751.1298828125,18182.919921875,42080.37109375,2194.97998046875,19066.470703125,8190.60009765625,7521.31982421875,20926.7890625,38937.5390625,81634.8125,131512.0,105.94187927246094
2024-10-09,5792.0400390625,18291.619140625,42512.0,2200.590087890625,19254.9296875,8243.7001953125,7560.08984375,20637.240234375,39277.9609375,81467.1015625,129962.0,107.46955871582033
2024-10-10,5780.0498046875,18282.05078125,42454.12109375,2188.419921875,19210.900390625,8237.7001953125,7541.58984375,21251.98046875,39380.890625,81611.40625,130353.0,106.52338409423828
2024-10-15,5815.259765625,18315.58984375,42740.421875,2249.820068359375,19486.189453125,8249.2998046875,7521.97021484375,20318.7890625,39910.55078125,81820.1171875,131043.0,110.603759765625
2024-10-16,5842.47021484375,18367.080078125,43077.69921875,2286.679931640625,19432.810546875,8329.099609375,7492.0,20286.849609375,39180.30078125,81501.359375,131750.0,117.78876495361328
2024-10-17,5841.47021484375,18373.609375,43239.05078125,2280.85009765625,19583.390625,8385.099609375,7583.72998046875,20079.099609375,38911.19140625,81006.609375,130793.0,117.7197723388672
2024-10-18,5864.669921875,18489.55078125,43275.91015625,2276.090087890625,19657.369140625,8358.2998046875,7613.0498046875,20804.109375,38981.75,81224.75,130499.0,119.31643676757812
2024-10-21,5853.97998046875,18540.009765625,42931.6015625,2239.7099609375,19461.189453125,8318.2001953125,7536.22998046875,20478.4609375,38954.6015625,81151.2734375,130362.0,116.57647705078124
2024-10-22,5851.2001953125,18579.76953125,42924.890625,2231.530029296875,19421.91015625,8306.5,7535.10009765625,20498.94921875,38411.9609375,80220.71875,129721.0,116.61590576171876
2024-10-23,5797.419921875,18276.650390625,42514.94921875,2213.840087890625,19377.619140625,8258.599609375,7497.47998046875,20760.150390625,38104.859375,80081.9765625,129233.0,116.57647705078124
2024-10-24,5809.85986328125,18415.490234375,42374.359375,2218.919921875,19443.0,8269.400390625,7503.27978515625,20489.619140625,38143.2890625,80065.15625,130067.0,117.4536590576172
2024-10-25,5808.1201171875,18518.609375,42114.3984375,2207.989990234375,19463.58984375,8248.7998046875,7497.5400390625,20590.150390625,37913.921875,79402.2890625,129893.0,115.19664001464844
2024-10-28,5823.52001953125,18567.189453125,42387.5703125,2244.070068359375,19531.619140625,8285.599609375,7556.93994140625,20599.359375,38605.53125,80005.0390625,131213.0,117.41423034667967
2024-10-29,5832.919921875,18712.75,42233.05078125,2238.090087890625,19478.0703125,8219.599609375,7511.10986328125,20701.140625,38903.6796875,80369.03125,130730.0,117.581787109375
2024-10-30,5813.669921875,18607.9296875,42141.5390625,2233.0400390625,19257.33984375,8159.60009765625,7428.35986328125,20380.640625,39277.390625,79942.1796875,130639.0,116.22166442871094
2024-10-31,5705.4501953125,18095.150390625,41763.4609375,2196.64990234375,19077.5390625,8110.10009765625,7350.3701171875,20317.330078125,39081.25,79389.0625,129713.0,115.4815902709961
2024-11-01,5728.7998046875,18239.919921875,42052.19140625,2210.1298828125,19254.970703125,8177.2001953125,7409.10986328125,20506.4296875,38053.671875,79724.1171875,128121.0,116.07762145996094
2024-11-05,5782.759765625,18439.169921875,42221.87890625,2260.840087890625,19256.26953125,8172.39990234375,7407.14990234375,21006.970703125,38474.8984375,79476.6328125,130661.0,117.0312728881836
2024-11-06,5929.0400390625,18983.470703125,43729.9296875,2392.919921875,19039.310546875,8166.7001953125,7369.60986328125,20538.380859375,39480.671875,80378.1328125,130341.0,130.62086486816406
2024-11-07,5973.10009765625,19269.4609375,43729.33984375,2382.68994140625,19362.51953125,8140.7001953125,7425.60009765625,20953.33984375,39381.41015625,79541.7890625,129682.0,127.5910186767578
2024-11-08,5995.5400390625,19286.779296875,43988.98828125,2399.639892578125,19215.48046875,8072.39990234375,7338.669921875,20728.189453125,39500.37109375,79486.3203125,127830.0,128.67381286621094
2024-11-11,6001.35009765625,19298.759765625,44293.12890625,2434.97998046875,19448.599609375,8125.2001953125,7426.8798828125,20426.9296875,39533.3203125,79496.1484375,127874.0,132.63743591308594
2024-11-12,5983.990234375,19281.400390625,43910.98046875,2391.85009765625,19033.640625,8025.7998046875,7226.97998046875,19846.880859375,39376.08984375,78675.1796875,127698.0,131.4354248046875
2024-11-13,5985.3798828125,19230.720703125,43958.19140625,2369.3701171875,19003.109375,8030.2998046875,7216.830078125,19823.44921875,38721.66015625,77690.953125,127734.0,131.88246154785156
2024-11-14,5949.169921875,19107.650390625,43750.859375,2336.93994140625,19263.69921875,8071.2001953125,7311.7998046875,19435.810546875,38535.69921875,77580.3125,127792.0,131.55462646484375
2024-11-18,5893.6201171875,18791.810546875,43389.6015625,2306.340087890625,19189.189453125,8109.2998046875,7278.22998046875,19576.609375,38220.8515625,77339.0078125,127768.0,132.89572143554688
2024-11-19,5916.97998046875,18987.470703125,43268.94140625,2324.830078125,19060.310546875,8099.0,7229.64013671875,19663.669921875,38414.4296875,77578.3828125,128197.0,131.36590576171875
2024-11-21,5948.7099609375,18972.419921875,43870.3515625,2364.02001953125,19146.169921875,8149.2998046875,7213.31982421875,19601.109375,38026.171875,77155.7890625,126922.0,134.09771728515625
2024-11-22,5969.33984375,19003.650390625,44296.51171875,2406.669921875,19322.58984375,8262.099609375,7255.009765625,19229.970703125,38283.8515625,79117.109375,129126.0,133.79969787597656
2024-11-25,5987.3701171875,19054.83984375,44736.5703125,2442.030029296875,19405.19921875,8291.7001953125,7257.47021484375,19150.990234375,38780.140625,80109.8515625,129036.0,132.77651977539062
2024-11-26,6021.6298828125,19174.30078125,44860.30859375,2424.31005859375,19295.98046875,8258.599609375,7194.509765625,19159.19921875,38442.0,80004.0625,129922.0,130.41224670410156
2024-11-27,5998.740234375,19060.48046875,44722.05859375,2426.18994140625,19261.75,8274.7998046875,7143.02978515625,19603.130859375,38134.96875,80234.078125,127669.0,130.34271240234375
2024-11-29,6032.3798828125,19218.169921875,44910.6484375,2434.72998046875,19626.44921875,8287.2998046875,7235.10986328125,19423.609375,38208.03125,79802.7890625,125668.0,130.7400665283203
2024-12-02,6047.14990234375,19403.94921875,44782.0,2434.139892578125,19933.619140625,8312.900390625,7236.89013671875,19550.2890625,38513.01953125,80248.078125,125236.0,130.1638946533203
2024-12-03,6049.8798828125,19480.91015625,44705.53125,2416.35009765625,20016.75,8359.400390625,7255.419921875,19746.3203125,39248.859375,80845.75,126139.0,129.5778045654297
