Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Timezone
2024-08-20,40874.51953125,40909.37890625,40756.6484375,40834.96875,299380000,0.0,0.0,America/New_York
2024-08-21,40881.03125,40974.3984375,40738.4296875,40890.48828125,281460000,0.0,0.0,America/New_York
2024-08-22,40932.23046875,41026.640625,40584.46875,40712.78125,310470000,0.0,0.0,America/New_York
2024-08-23,40879.12109375,41207.921875,40842.9609375,41175.078125,300080000,0.0,0.0,America/New_York
2024-08-26,41200.83984375,41420.05078125,41140.23046875,41240.51953125,249300000,0.0,0.0,America/New_York
2024-08-27,41186.28125,41271.75,41109.421875,41250.5,256160000,0.0,0.0,America/New_York
2024-08-28,41250.171875,41351.109375,40842.2890625,41091.421875,272170000,0.0,0.0,America/New_York
2024-08-29,41345.5,41577.96875,41086.80859375,41335.05078125,309820000,0.0,0.0,America/New_York
2024-08-30,41366.16015625,41585.2109375,41145.8515625,41563.078125,494900000,0.0,0.0,America/New_York
2024-09-03,41489.671875,41489.671875,40778.08984375,40936.9296875,420530000,0.0,0.0,America/New_York
2024-09-04,40872.05859375,41172.58984375,40840.890625,40974.96875,359380000,0.0,0.0,America/New_York
2024-09-05,41056.328125,41084.78125,40519.078125,40755.75,331250000,0.0,0.0,America/New_York
2024-09-06,40756.80859375,41009.390625,40297.328125,40345.41015625,370440000,0.0,0.0,America/New_York
2024-09-09,40555.109375,41000.23828125,40518.05859375,40829.58984375,376720000,0.0,0.0,America/New_York
2024-09-10,40916.5,40916.5,40417.48046875,40736.9609375,360950000,0.0,0.0,America/New_York
2024-09-11,40638.76171875,40903.6796875,39993.0703125,40861.7109375,356040000,0.0,0.0,America/New_York
2024-09-12,40862.109375,41107.3515625,40665.53125,41096.76953125,289300000,0.0,0.0,America/New_York
2024-09-13,41153.69921875,41533.83984375,41128.69921875,41393.78125,276800000,0.0,0.0,America/New_York
2024-09-16,41435.171875,41733.96875,41435.171875,41622.078125,408670000,0.0,0.0,America/New_York
2024-09-17,41723.78125,41835.28125,41470.69140625,41606.1796875,448610000,0.0,0.0,America/New_York
2024-09-18,41628.91015625,41981.96875,41449.0,41503.1015625,383600000,0.0,0.0,America/New_York
2024-09-19,41972.55859375,42160.91015625,41832.08984375,42025.19140625,429760000,0.0,0.0,America/New_York
2024-09-20,41959.4296875,42138.41015625,41865.94921875,42063.359375,1207660000,0.0,0.0,America/New_York
2024-09-23,42060.3984375,42190.05078125,42012.21875,42124.6484375,455200000,0.0,0.0,America/New_York
2024-09-24,42234.98828125,42281.05859375,42056.8203125,42208.21875,401020000,0.0,0.0,America/New_York
2024-09-25,42236.08984375,42299.640625,41859.73046875,41914.75,374960000,0.0,0.0,America/New_York
2024-09-26,42113.421875,42224.1484375,42036.28125,42175.109375,353600000,0.0,0.0,America/New_York
2024-09-27,42227.94921875,42628.3203125,42227.94921875,42313.0,329840000,0.0,0.0,America/New_York
2024-09-30,42289.75,42347.66015625,41929.0703125,42330.1484375,354430000,0.0,0.0,America/New_York
2024-10-01,42262.96875,42322.359375,41945.62890625,42156.96875,380240000,0.0,0.0,America/New_York
2024-10-02,42125.140625,42259.51953125,41968.7890625,42196.51953125,301760000,0.0,0.0,America/New_York
2024-10-03,42099.53125,42125.83984375,41847.80859375,42011.58984375,267260000,0.0,0.0,America/New_York
2024-10-04,42248.26171875,42361.37890625,41972.109375,42352.75,296550000,0.0,0.0,America/New_York
2024-10-07,42289.51171875,42293.640625,41831.73828125,41954.23828125,307230000,0.0,0.0,America/New_York
2024-10-08,42022.6484375,42128.55859375,41874.71875,42080.37109375,284500000,0.0,0.0,America/New_York
2024-10-09,42070.3203125,42562.01171875,41993.3515625,42512.0,267400000,0.0,0.0,America/New_York
2024-10-10,42511.37109375,42511.37109375,42308.0390625,42454.12109375,245570000,0.0,0.0,America/New_York
2024-10-11,42507.53125,42899.75,42507.53125,42863.859375,265330000,0.0,0.0,America/New_York
2024-10-14,42800.890625,43139.0,42707.140625,43065.21875,240050000,0.0,0.0,America/New_York
2024-10-15,43240.171875,43277.78125,42703.171875,42740.421875,360880000,0.0,0.0,America/New_York
2024-10-16,42706.48828125,43100.83984375,42692.37109375,43077.69921875,297510000,0.0,0.0,America/New_York
2024-10-17,43119.80859375,43289.76171875,43119.80859375,43239.05078125,267370000,0.0,0.0,America/New_York
2024-10-18,43187.12109375,43325.08984375,43036.3515625,43275.91015625,295500000,0.0,0.0,America/New_York
2024-10-21,43222.2109375,43310.87109375,42877.5703125,42931.6015625,273590000,0.0,0.0,America/New_York
2024-10-22,42876.83984375,43041.05078125,42718.26171875,42924.890625,335200000,0.0,0.0,America/New_York
2024-10-23,42834.3984375,42834.3984375,42293.171875,42514.94921875,356610000,0.0,0.0,America/New_York
2024-10-24,42522.55078125,42522.55078125,42191.828125,42374.359375,282680000,0.0,0.0,America/New_York
2024-10-25,42477.51171875,42594.640625,42051.390625,42114.3984375,314000000,0.0,0.0,America/New_York
2024-10-28,42264.5390625,42476.4609375,42264.5390625,42387.5703125,284770000,0.0,0.0,America/New_York
2024-10-29,42323.48046875,42491.859375,42171.6484375,42233.05078125,373550000,0.0,0.0,America/New_York
2024-10-30,42249.80859375,42457.921875,42141.5390625,42141.5390625,377420000,0.0,0.0,America/New_York
2024-10-31,41956.33984375,41991.91015625,41704.62890625,41763.4609375,497370000,0.0,0.0,America/New_York
2024-11-01,41869.8203125,42326.30859375,41869.8203125,42052.19140625,531350000,0.0,0.0,America/New_York
2024-11-04,42004.66015625,42035.87109375,41647.30078125,41794.6015625,341500000,0.0,0.0,America/New_York
2024-11-05,41835.48828125,42258.83984375,41766.9609375,42221.87890625,283990000,0.0,0.0,America/New_York
2024-11-06,42850.3984375,43778.78125,42850.3984375,43729.9296875,550400000,0.0,0.0,America/New_York
2024-11-07,43718.921875,43823.1015625,43641.921875,43729.33984375,437510000,0.0,0.0,America/New_York
2024-11-08,43768.53125,44157.2890625,43733.859375,43988.98828125,454570000,0.0,0.0,America/New_York
2024-11-11,44057.6484375,44486.69921875,44057.6484375,44293.12890625,451940000,0.0,0.0,America/New_York
2024-11-12,44359.2109375,44405.73046875,43887.26953125,43910.98046875,482720000,0.0,0.0,America/New_York
2024-11-13,43880.4609375,44141.328125,43829.98046875,43958.19140625,500190000,0.0,0.0,America/New_York
2024-11-14,44032.37890625,44080.78125,43704.8203125,43750.859375,545090000,0.0,0.0,America/New_York
2024-11-15,43587.9296875,43647.53125,43350.4296875,43444.98828125,664320000,0.0,0.0,America/New_York
2024-11-18,43431.890625,43505.66015625,43297.5703125,43389.6015625,527180000,0.0,0.0,America/New_York
2024-11-19,43243.26953125,43380.96875,42938.87109375,43268.94140625,497970000,0.0,0.0,America/New_York
2024-11-20,43296.05078125,43465.76953125,43074.859375,43408.46875,559010000,0.0,0.0,America/New_York
2024-11-21,43538.69921875,44020.30859375,43345.578125,43870.3515625,712120000,0.0,0.0,America/New_York
2024-11-22,43871.62890625,44323.94921875,43871.62890625,44296.51171875,533010000,0.0,0.0,America/New_York
2024-11-25,44385.48828125,44815.671875,44385.48828125,44736.5703125,826660000,0.0,0.0,America/New_York
