Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Timezone
2024-08-20,17661.689453125,17661.689453125,17449.990234375,17511.080078125,1961800000,0.0,0.0,Asia/Hong_Kong
2024-08-21,17313.859375,17415.48046875,17232.130859375,17391.009765625,2060224300,0.0,0.0,Asia/Hong_Kong
2024-08-22,17497.630859375,17652.80078125,17389.939453125,17641.0,2945729800,0.0,0.0,Asia/Hong_Kong
2024-08-23,17521.1796875,17635.69921875,17493.080078125,17612.099609375,2054121600,0.0,0.0,Asia/Hong_Kong
2024-08-26,17709.26953125,17826.05078125,17709.26953125,17798.73046875,1970098500,0.0,0.0,Asia/Hong_Kong
2024-08-27,17663.80078125,17879.26953125,17624.419921875,17874.669921875,2702698800,0.0,0.0,Asia/Hong_Kong
2024-08-28,17847.990234375,17879.009765625,17659.2890625,17692.44921875,2184592400,0.0,0.0,Asia/Hong_Kong
2024-08-29,17614.41015625,17797.169921875,17502.529296875,17786.3203125,2858172500,0.0,0.0,Asia/Hong_Kong
2024-08-30,17794.41015625,18202.599609375,17778.099609375,17989.0703125,4753806200,0.0,0.0,Asia/Hong_Kong
2024-09-02,17862.58984375,17862.58984375,17645.919921875,17691.970703125,3077120300,0.0,0.0,Asia/Hong_Kong
2024-09-03,17665.9296875,17725.509765625,17583.69921875,17651.490234375,2470760400,0.0,0.0,Asia/Hong_Kong
2024-09-04,17474.740234375,17531.05078125,17333.30078125,17457.33984375,2601237200,0.0,0.0,Asia/Hong_Kong
2024-09-05,17469.9609375,17555.609375,17332.490234375,17444.30078125,2558634900,0.0,0.0,Asia/Hong_Kong
2024-09-09,17261.890625,17305.91015625,17067.44921875,17196.9609375,3841864100,0.0,0.0,Asia/Hong_Kong
2024-09-10,17205.419921875,17297.94921875,17133.5,17234.08984375,2786726500,0.0,0.0,Asia/Hong_Kong
2024-09-11,17051.83984375,17124.9609375,16964.279296875,17108.7109375,3071142700,0.0,0.0,Asia/Hong_Kong
2024-09-12,17177.30078125,17334.189453125,17127.25,17240.390625,2374153300,0.0,0.0,Asia/Hong_Kong
2024-09-13,17298.349609375,17540.810546875,17298.349609375,17369.08984375,2139977900,0.0,0.0,Asia/Hong_Kong
2024-09-16,17252.76953125,17422.119140625,17177.080078125,17422.119140625,1127924500,0.0,0.0,Asia/Hong_Kong
2024-09-17,17386.75,17715.76953125,17368.140625,17660.01953125,1665721500,0.0,0.0,Asia/Hong_Kong
2024-09-19,17633.9296875,18071.099609375,17602.44921875,18013.16015625,3436673300,0.0,0.0,Asia/Hong_Kong
2024-09-20,18069.330078125,18355.150390625,18047.130859375,18258.5703125,4005306800,0.0,0.0,Asia/Hong_Kong
2024-09-23,18237.41015625,18426.919921875,18212.580078125,18247.109375,2724524400,0.0,0.0,Asia/Hong_Kong
2024-09-24,18573.919921875,19002.05078125,18532.279296875,19000.560546875,6008421400,0.0,0.0,Asia/Hong_Kong
2024-09-25,19592.4296875,19592.4296875,19072.720703125,19129.099609375,6507488700,0.0,0.0,Asia/Hong_Kong
2024-09-26,19302.5703125,19954.060546875,19176.580078125,19924.580078125,7428256300,0.0,0.0,Asia/Hong_Kong
2024-09-27,20446.740234375,20743.19921875,20268.630859375,20632.30078125,9656093400,0.0,0.0,Asia/Hong_Kong
2024-09-30,21175.41015625,21488.75,20789.9296875,21133.6796875,1035706200,0.0,0.0,Asia/Hong_Kong
