Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Timezone
2024-08-20,8356.900390625,8356.900390625,8270.7001953125,8273.2998046875,492210300,0.0,0.0,Europe/London
2024-08-21,8273.2998046875,8295.900390625,8263.0,8283.400390625,825049200,0.0,0.0,Europe/London
2024-08-22,8283.400390625,8318.599609375,8277.0,8288.0,797295800,0.0,0.0,Europe/London
2024-08-23,8288.0,8331.900390625,8288.0,8327.7998046875,615482100,0.0,0.0,Europe/London
2024-08-27,8327.7998046875,8400.400390625,8327.7998046875,8345.5,785508100,0.0,0.0,Europe/London
2024-08-28,8345.5,8362.7001953125,8322.2998046875,8343.900390625,624469700,0.0,0.0,Europe/London
2024-08-29,8343.900390625,8392.400390625,8336.599609375,8379.599609375,613890100,0.0,0.0,Europe/London
2024-08-30,8379.599609375,8414.400390625,8363.7001953125,8376.599609375,1081528600,0.0,0.0,Europe/London
2024-09-02,8376.599609375,8380.099609375,8353.2001953125,8363.7998046875,510920500,0.0,0.0,Europe/London
2024-09-03,8363.7998046875,8381.0,8286.599609375,8298.5,1022494600,0.0,0.0,Europe/London
2024-09-04,8298.5,8298.5,8219.2998046875,8269.599609375,724921200,0.0,0.0,Europe/London
2024-09-05,8269.599609375,8285.599609375,8241.7001953125,8241.7001953125,738779600,0.0,0.0,Europe/London
2024-09-06,8241.7001953125,8260.7001953125,8168.39990234375,8181.5,704014000,0.0,0.0,Europe/London
2024-09-09,8181.5,8274.7001953125,8181.5,8270.7998046875,626820000,0.0,0.0,Europe/London
2024-09-10,8270.7998046875,8271.099609375,8195.099609375,8206.0,815663300,0.0,0.0,Europe/London
2024-09-11,8206.0,8232.7998046875,8170.0,8193.900390625,867081200,0.0,0.0,Europe/London
2024-09-12,8193.900390625,8301.400390625,8193.900390625,8241.0,1071633400,0.0,0.0,Europe/London
2024-09-13,8241.0,8287.900390625,8230.7998046875,8273.099609375,535984000,0.0,0.0,Europe/London
2024-09-16,8273.099609375,8290.0,8247.900390625,8278.400390625,451756300,0.0,0.0,Europe/London
2024-09-17,8278.400390625,8351.7001953125,8278.400390625,8309.900390625,746474800,0.0,0.0,Europe/London
2024-09-18,8309.900390625,8310.0,8245.7001953125,8253.7001953125,800042600,0.0,0.0,Europe/London
2024-09-19,8253.7001953125,8370.5,8253.7001953125,8328.7001953125,861254500,0.0,0.0,Europe/London
2024-09-20,8328.7001953125,8328.7001953125,8223.7998046875,8230.0,1575731600,0.0,0.0,Europe/London
2024-09-23,8230.0,8262.5,8210.099609375,8259.7001953125,653474700,0.0,0.0,Europe/London
2024-09-24,8259.7001953125,8309.7998046875,8259.5,8282.7998046875,1018907500,0.0,0.0,Europe/London
2024-09-25,8282.7998046875,8319.400390625,8243.0,8268.7001953125,712916300,0.0,0.0,Europe/London
2024-09-26,8268.7001953125,8332.900390625,8262.0,8284.900390625,835609300,0.0,0.0,Europe/London
2024-09-27,8284.900390625,8334.599609375,8283.5,8320.7998046875,801571600,0.0,0.0,Europe/London
2024-09-30,8320.7998046875,8324.599609375,8234.0,8237.0,831097600,0.0,0.0,Europe/London
2024-10-01,8237.0,8291.099609375,8226.2001953125,8276.7001953125,928541100,0.0,0.0,Europe/London
2024-10-02,8276.7001953125,8322.599609375,8267.599609375,8290.900390625,804855900,0.0,0.0,Europe/London
2024-10-03,8290.900390625,8332.7001953125,8262.0,8282.5,918547500,0.0,0.0,Europe/London
2024-10-04,8282.5,8300.7001953125,8234.2001953125,8280.599609375,721509500,0.0,0.0,Europe/London
2024-10-07,8280.599609375,8323.400390625,8260.099609375,8303.599609375,645451200,0.0,0.0,Europe/London
2024-10-08,8303.599609375,8303.599609375,8184.0,8190.60009765625,754710600,0.0,0.0,Europe/London
2024-10-09,8190.60009765625,8244.400390625,8188.7001953125,8243.7001953125,501110700,0.0,0.0,Europe/London
2024-10-10,8243.7001953125,8272.5,8218.400390625,8237.7001953125,675185500,0.0,0.0,Europe/London
2024-10-11,8237.7001953125,8265.7001953125,8211.900390625,8253.7001953125,519343300,0.0,0.0,Europe/London
2024-10-14,8253.7001953125,8292.7001953125,8237.7001953125,8292.7001953125,652695500,0.0,0.0,Europe/London
2024-10-15,8292.7001953125,8306.2001953125,8242.0,8249.2998046875,836071600,0.0,0.0,Europe/London
2024-10-16,8249.2998046875,8346.599609375,8249.2998046875,8329.099609375,983516200,0.0,0.0,Europe/London
2024-10-17,8329.099609375,8395.599609375,8322.099609375,8385.099609375,910215100,0.0,0.0,Europe/London
2024-10-18,8385.099609375,8385.099609375,8315.900390625,8358.2998046875,790396700,0.0,0.0,Europe/London
2024-10-21,8358.2998046875,8391.7998046875,8318.2001953125,8318.2001953125,641070600,0.0,0.0,Europe/London
2024-10-22,8318.2001953125,8318.2001953125,8252.400390625,8306.5,628688300,0.0,0.0,Europe/London
2024-10-23,8306.5,8323.2001953125,8252.400390625,8258.599609375,750920700,0.0,0.0,Europe/London
2024-10-24,8258.599609375,8337.7001953125,8256.7998046875,8269.400390625,1021483500,0.0,0.0,Europe/London
2024-10-25,8269.400390625,8278.099609375,8246.2001953125,8248.7998046875,963757400,0.0,0.0,Europe/London
2024-10-28,8248.7998046875,8293.599609375,8208.900390625,8285.599609375,1029866000,0.0,0.0,Europe/London
2024-10-29,8285.599609375,8325.5,8215.2998046875,8219.599609375,1071605800,0.0,0.0,Europe/London
2024-10-30,8219.599609375,8219.599609375,8153.7998046875,8159.60009765625,1059873900,0.0,0.0,Europe/London
2024-10-31,8159.60009765625,8159.60009765625,8071.7001953125,8110.10009765625,1073856200,0.0,0.0,Europe/London
2024-11-01,8110.10009765625,8202.599609375,8105.2998046875,8177.2001953125,865735500,0.0,0.0,Europe/London
2024-11-04,8177.2001953125,8239.900390625,8175.7998046875,8184.2001953125,933157300,0.0,0.0,Europe/London
2024-11-05,8184.2001953125,8215.7998046875,8148.2998046875,8172.39990234375,841056500,0.0,0.0,Europe/London
2024-11-06,8172.39990234375,8301.7998046875,8144.2998046875,8166.7001953125,1036073800,0.0,0.0,Europe/London
2024-11-07,8166.7001953125,8195.2998046875,8140.7001953125,8140.7001953125,961904700,0.0,0.0,Europe/London
2024-11-08,8140.7001953125,8156.5,8060.89990234375,8072.39990234375,833664800,0.0,0.0,Europe/London
2024-11-11,8072.39990234375,8148.2001953125,8072.39990234375,8125.2001953125,648655300,0.0,0.0,Europe/London
2024-11-12,8125.2001953125,8125.2001953125,8018.60009765625,8025.7998046875,973035400,0.0,0.0,Europe/London
2024-11-13,8025.7998046875,8062.7001953125,7995.89990234375,8030.2998046875,1001024100,0.0,0.0,Europe/London
2024-11-14,8030.2998046875,8083.10009765625,8012.7998046875,8071.2001953125,662893000,0.0,0.0,Europe/London
2024-11-15,8071.2001953125,8091.89990234375,8030.0,8063.60009765625,740001000,0.0,0.0,Europe/London
2024-11-18,8063.60009765625,8109.2998046875,8054.10009765625,8109.2998046875,800777400,0.0,0.0,Europe/London
2024-11-19,8109.2998046875,8145.89990234375,8052.0,8099.0,740741000,0.0,0.0,Europe/London
2024-11-20,8099.0,8128.39990234375,8074.2001953125,8085.10009765625,744104500,0.0,0.0,Europe/London
2024-11-21,8085.10009765625,8152.89990234375,8065.2001953125,8149.2998046875,856150000,0.0,0.0,Europe/London
2024-11-22,8149.2998046875,8274.7998046875,8149.2998046875,8262.099609375,791049500,0.0,0.0,Europe/London
2024-11-25,8262.099609375,8307.2998046875,8261.7998046875,8291.7001953125,1952081800,0.0,0.0,Europe/London
2024-11-26,8291.7001953125,8291.7001953125,8245.7998046875,8258.599609375,771580100,0.0,0.0,Europe/London
2024-11-27,8258.599609375,8280.0,8237.7001953125,8274.7998046875,658162500,0.0,0.0,Europe/London
2024-11-28,8274.7998046875,8303.7998046875,8271.900390625,8281.2001953125,515831900,0.0,0.0,Europe/London
2024-11-29,8281.2001953125,8292.5,8252.900390625,8287.2998046875,588369200,0.0,0.0,Europe/London
2024-12-02,8287.2998046875,8332.0,8274.7001953125,8312.900390625,822818500,0.0,0.0,Europe/London
2024-12-03,8312.900390625,8388.400390625,8311.900390625,8359.400390625,815525800,0.0,0.0,Europe/London
2024-12-04,8359.400390625,8362.7998046875,8322.7998046875,8335.7998046875,760035100,0.0,0.0,Europe/London
2024-12-05,8335.7998046875,8350.7001953125,8321.599609375,8349.400390625,855079400,0.0,0.0,Europe/London
2024-12-06,8349.400390625,8357.599609375,8303.5,8308.599609375,1058504800,0.0,0.0,Europe/London
2024-12-09,8308.599609375,8372.099609375,8308.599609375,8352.099609375,731046000,0.0,0.0,Europe/London
2024-12-10,8352.099609375,8352.099609375,8274.5,8280.400390625,605634700,0.0,0.0,Europe/London
2024-12-11,8280.400390625,8318.900390625,8248.400390625,8301.599609375,1274444500,0.0,0.0,Europe/London
2024-12-12,8301.599609375,8331.099609375,8300.2001953125,8311.7998046875,584951900,0.0,0.0,Europe/London
2024-12-13,8311.7998046875,8331.900390625,8282.400390625,8300.2998046875,653230000,0.0,0.0,Europe/London
2024-12-16,8300.2998046875,8305.2001953125,8254.099609375,8262.099609375,621726000,0.0,0.0,Europe/London
2024-12-17,8262.099609375,8262.099609375,8190.2001953125,8195.2001953125,1176055700,0.0,0.0,Europe/London
2024-12-18,8195.2001953125,8231.7998046875,8191.60009765625,8199.099609375,836400800,0.0,0.0,Europe/London
2024-12-19,8199.099609375,8199.099609375,8079.0,8105.2998046875,802810600,0.0,0.0,Europe/London
2024-12-20,8105.2998046875,8105.7998046875,8002.2998046875,8084.60009765625,1608807700,0.0,0.0,Europe/London
2024-12-23,8084.60009765625,8111.39990234375,8051.89990234375,8102.7001953125,573891100,0.0,0.0,Europe/London
2024-12-24,8102.7001953125,8152.0,8102.7001953125,8137.0,243246600,0.0,0.0,Europe/London
