Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Timezone,MA_50,ATR_14,RSI_14,EMA_12,EMA_26,MACD,Signal_Line,Upper_Band,Lower_Band,Sharpe_Ratio
2023-02-13,91.99395806648964,93.0357455513792,91.4358566143495,92.56136322021484,8133000,0.0,0.0,America/New_York,,,,92.56136322021484,92.56136322021484,0.0,0.0,,,-0.13353316058088083
2023-02-20,91.58467117266932,92.08696455822056,89.86385557752637,90.87773895263672,22958700,0.0,0.0,America/New_York,,,,92.3023441021259,92.43665031150536,-0.13430620937946003,-0.026861241875892006,,,-0.13353316058088083
2023-02-27,91.53817579516672,91.60328751279684,87.88260171302944,91.46376037597656,28956300,0.0,0.0,America/New_York,,,,92.17333122117985,92.36458439035508,-0.1912531691752264,-0.05973962733575889,,,-0.13353316058088083
2023-03-06,91.56608606260248,92.27301130329889,82.99920727460896,83.76194763183594,40166800,0.0,0.0,America/New_York,,,,90.87927220743462,91.72735203787218,-0.8480798304375554,-0.2174076679561182,,,-0.13353316058088083
2023-03-13,82.35737423178978,85.95714000073745,77.46467082187175,78.30182647705078,76356900,0.0,0.0,America/New_York,,,,88.94428055660634,90.73286866299652,-1.7885881063901792,-0.5316437556429304,,,-0.13353316058088083
2023-03-20,78.69249580019068,83.78983798610622,76.01360483261601,78.08788299560547,45206400,0.0,0.0,America/New_York,,,,87.2740655472216,89.7962030580046,-2.522137510782997,-0.9297425066709438,,,-0.13353316058088083
2023-03-27,80.05056372759155,81.73417910940327,78.0693008213471,81.6690673828125,26966400,0.0,0.0,America/New_York,,,,86.4117581373125,89.19419300799036,-2.7824348706778608,-1.3002809794723271,,,-0.13353316058088083
2023-04-03,81.80857377771522,82.15273975886389,77.39025952043527,78.3111343383789,23874400,0.0,0.0,America/New_York,,,,85.16550832209195,88.38804051394507,-3.2225321918531193,-1.6847312219484856,,,-0.13353316058088083
2023-04-10,78.0878914035555,81.2969872057431,77.60420536579403,80.65516662597656,29361600,0.0,0.0,America/New_York,,,,84.47160959961265,87.81523504076222,-3.3436254411495696,-2.0165100657887023,,,-0.13353316058088083
2023-04-17,80.60865396731973,85.4083345246345,80.24588060574177,84.75721740722656,46297700,0.0,0.0,America/New_York,,,,84.51554926232248,87.58871521605587,-3.073165953733394,-2.227841243377641,,,-0.13353316058088083
2023-04-24,84.85954858801621,85.0920914617022,81.75277210531578,83.68753051757812,29990500,0.775,0.0,America/New_York,,,,84.38816176313104,87.29973857172419,-2.9115768085931535,-2.3645883564207435,,,-0.13353316058088083
