,Forecast,Close,Close_diff
2025-02-15,138.78961721146422,138.78961721146422,
2025-02-16,138.51809804779953,138.51809804779953,-0.2715191636646921
2025-02-17,138.35111738726823,138.35111738726823,-0.16698066053129423
2025-02-18,138.33783082048404,138.33783082048404,-0.01328656678418838
2025-02-19,138.44980216042217,138.44980216042217,0.11197133993812258
2025-02-20,138.50658649344822,138.50658649344822,0.056784333026058675
2025-02-21,138.53538368814998,138.53538368814998,0.02879719470175246
2025-02-22,138.54998768855816,138.54998768855816,0.014604000408183992
2025-02-23,138.5573938553786,138.5573938553786,0.007406166820430826
2025-02-24,138.56114976509093,138.56114976509093,0.0037559097123391894
