Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Timezone,MA_50,ATR_14,RSI_14,EMA_12,EMA_26,MACD,Signal_Line
2023-02-20,91.58468655015554,92.08698002004414,89.86387066607976,90.87775421142578,22958700,0.0,0.0,America/New_York,,,,90.87775421142578,90.87775421142578,0.0,0.0
2023-02-27,91.538160523963,91.60327223073062,87.88258705168077,91.4637451171875,28956300,0.0,0.0,America/New_York,,,,90.96790665846603,90.9211609451859,0.04674571328013144,0.009349142656026288
2023-03-06,91.56607772237382,92.27300289868046,82.99919971468807,83.7619400024414,40166800,0.0,0.0,America/New_York,,,,89.85929640369301,90.39084828276039,-0.5315518790673792,-0.09883106168865483
2023-03-13,82.35737423178978,85.95714000073745,77.46467082187175,78.30182647705078,76356900,0.0,0.0,America/New_York,,,,88.08122410728652,89.49536518604117,-1.4141410787546533,-0.3618930651018546
2023-03-20,78.69251886559113,83.78986254557847,76.01362711281207,78.08790588378906,45206400,0.0,0.0,America/New_York,,,,86.54379053444076,88.65036820068917,-2.1065776662484126,-0.7108299853311661
2023-03-27,80.05055624939507,81.73417147392611,78.06929352823704,81.66905975341797,26966400,0.0,0.0,America/New_York,,,,85.79383195274495,88.13323424163204,-2.3394022888870865,-1.0365444460423503
2023-04-03,81.80856580758568,82.15273175520427,77.39025198075618,78.31112670898438,23874400,0.0,0.0,America/New_York,,,,84.64264653062794,87.40567072069517,-2.7630241900672274,-1.381840394847326
2023-04-10,78.08787663045771,81.29697182553087,77.60419068420263,80.6551513671875,29361600,0.0,0.0,America/New_York,,,,84.0291857362525,86.90563225006498,-2.876446513812482,-1.6807616186403571
2023-04-17,80.60865396731973,85.4083345246345,80.24588060574177,84.75721740722656,46297700,0.0,0.0,America/New_York,,,,84.14119060871005,86.74649040985473,-2.6052998011446817,-1.8656692551412224
2023-04-24,84.85954858801621,85.0920914617022,81.75277210531578,83.68753051757812,29990500,0.775,0.0,America/New_York,,,,84.0713967485359,86.51990078820461,-2.4485040396687054,-1.982236212046719
2023-05-01,84.61873415628784,84.92834376785802,76.56874109331882,79.6367416381836,39256700,0.0,0.0,America/New_York,,,,83.38914211617401,86.01003714746231,-2.620895031288299,-2.109967975895035
2023-05-08,80.19967866092347,80.28411568825194,76.57812044351783,77.30055236816406,27017600,0.0,0.0,America/New_York,,,,82.45243600109556,85.36489012677355,-2.912454125677982,-2.2704652058516244
2023-05-15,77.56325863116032,79.32713075143585,76.75638248212091,77.15982055664062,36656900,0.0,0.0,America/New_York,,,,81.63818747117942,84.7571071956526,-3.118919724473173,-2.440156109575934
2023-05-22,77.16920093960675,79.41156377420027,75.75247561109606,78.71727752685547,32243300,0.0,0.0,America/New_York,,,33.3426623180639,81.18881671051419,84.30971240537133,-3.12089569485714,-2.576304026632175
2023-05-29,78.96121463824838,79.44908969477979,76.1183798475975,79.13947296142578,28511600,0.0,0.0,America/New_York,,5.107946379306688,34.104832727580785,80.87353305680827,83.9267317058198,-3.0531986490115344,-2.671682951108047
2023-06-05,79.18638576319344,81.63515959538464,78.0792772599112,80.88457489013672,34025100,0.0,0.0,America/New_York,,5.096174747622659,36.110438319132584,80.87523180039726,83.70138675650995,-2.8261549561126884,-2.7025773521089755
2023-06-12,80.87518851686652,84.1120769214909,80.69693020152225,82.6484375,40662400,0.0,0.0,America/New_York,,4.6776992859066775,48.268012614223544,81.14803267725921,83.62339051528699,-2.475357838027776,-2.657133449292736
2023-06-19,81.71960279833834,81.8884840118887,77.497579617686,78.41704559326172,29957000,0.0,0.0,America/New_York,,4.439012764724413,50.18633917431337,80.72788081818267,83.2377353358777,-2.5098545176950324,-2.6276776629731957
2023-06-26,78.3982689886938,81.14727519708977,78.10742082336888,80.1246109008789,33053600,0.0,0.0,America/New_York,,4.100699831935448,53.142079107583854,80.6350700616744,83.00713352587779,-2.372063464203393,-2.5765548232192352
2023-07-03,81.00653791138188,82.24500476206558,77.77904101569472,78.21062469482422,29337700,0.0,0.0,America/New_York,,4.157920246269861,44.375244444532676,80.26207846677437,82.65183657542939,-2.389758108655016,-2.5391954803063914
2023-07-10,78.26691562061436,82.29191138946985,78.04174308447098,80.48113250732422,39559000,0.0,0.0,America/New_York,,4.1213265698806305,53.658683415774526,80.29577908839742,82.49104368149567,-2.195264593098244,-2.4704093028647622
2023-07-17,80.3873229256289,88.56866689789537,80.3873229256289,88.2027587890625,57389700,0.0,0.0,America/New_York,,4.441938200661933,60.772091345871154,81.51223750388435,82.91413368946358,-1.4018961855792327,-2.2567066794076562
2023-07-24,88.20275981086026,89.66639226314743,85.46313036479273,85.91348266601562,36447200,0.85,0.0,America/New_York,,4.373424484909217,51.74029571040774,82.18935214421224,83.1363076877267,-0.9469555435144628,-1.9947564522290175
2023-07-31,87.02058198343644,87.30464918488332,83.81057420419141,84.0757064819336,27448200,0.0,0.0,America/New_York,,4.384478458073895,50.57104087938432,82.47956050386168,83.20589278359387,-0.7263322797321905,-1.7410716177296521
2023-08-07,84.70066312077292,84.94686048357752,81.68004059257362,83.0435791015625,24957400,0.0,0.0,America/New_York,,4.020708259249945,55.50025829748332,82.56633259581564,83.19386954788784,-0.6275369520722052,-1.5183646845981629
2023-08-14,82.34287546067704,82.7595160611434,80.21233875716867,80.38278198242188,32952400,0.0,0.0,America/New_York,,3.9582257663684968,54.92457006889625,82.2304017322166,82.9856408393348,-0.7552391071182001,-1.3657395691021703
2023-08-21,80.50586988365441,80.78047323455314,78.34692737238187,78.80144500732422,27751600,0.0,0.0,America/New_York,,3.948425594429664,52.50744468836023,81.702869928387,82.67570040733402,-0.9728304789470172,-1.2871577510711398
2023-08-28,79.3506509656407,81.85994372319745,79.32223774396893,81.19711303710938,28266800,0.0,0.0,America/New_York,,3.905526348198879,53.693175039523844,81.62506117588275,82.566175416947,-0.9411142410642555,-1.217949049069763
2023-09-04,81.28232953869782,81.68949901677492,78.92453788506246,80.41117858886719,21935200,0.0,0.0,America/New_York,,3.8651157256653192,51.87362935669267,81.43831000864958,82.40654602227443,-0.9682360136248462,-1.1680064419807796
2023-09-11,80.84675289515556,84.37871201200876,78.81091275851037,83.71588134765625,53048900,0.0,0.0,America/New_York,,4.008824076952815,53.98814212683002,81.788705599266,82.50353382415457,-0.7148282248885778,-1.0773707985623393
2023-09-18,83.86738712020916,84.71960318252982,78.60259690635925,78.86772918701172,30893600,0.0,0.0,America/New_York,,4.201814045252953,45.100278452932045,81.33932461276534,82.234214962144,-0.894890349378656,-1.0408747087256027
2023-09-25,78.24277601134561,78.85826585143842,76.72772909871881,77.33374786376953,28509900,0.0,0.0,America/New_York,,3.9867527742514466,48.49053242033171,80.72308203599675,81.87121739930144,-1.1481353633046893,-1.06232683964142
2023-10-02,76.79401714985082,77.14437470596815,73.48931972881718,76.06490325927734,32992600,0.0,0.0,America/New_York,,4.044222328625123,44.27318379356883,80.0064391472707,81.44112005559596,-1.4346809083252623,-1.1367976533781885
2023-10-09,75.373640081091,76.8034687207852,73.18629174054736,73.65974426269531,38396500,0.0,0.0,America/New_York,,3.9835947024727645,43.66805663212241,79.03002454964371,80.86472184871442,-1.8346972990707116,-1.2763775825166932
