Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Timezone
2024-08-22,136462.0,136462.0,134836.0,135173.0,8050200,0.0,0.0,America/Sao_Paulo
2024-08-23,135174.0,136478.0,135174.0,135608.0,8649400,0.0,0.0,America/Sao_Paulo
2024-08-26,135608.0,137013.0,135596.0,136889.0,7560000,0.0,0.0,America/Sao_Paulo
2024-08-27,136888.0,137213.0,136664.0,136776.0,6745900,0.0,0.0,America/Sao_Paulo
2024-08-28,136776.0,137469.0,135746.0,137344.0,7457100,0.0,0.0,America/Sao_Paulo
2024-08-29,137349.0,137370.0,135858.0,136041.0,8385100,0.0,0.0,America/Sao_Paulo
2024-08-30,136041.0,136139.0,134910.0,136004.0,18397900,0.0,0.0,America/Sao_Paulo
2024-09-02,136004.0,136004.0,134497.0,134981.0,3666100,0.0,0.0,America/Sao_Paulo
2024-09-03,134907.0,135011.0,134171.0,134353.0,8802400,0.0,0.0,America/Sao_Paulo
2024-09-04,134359.0,136838.0,134359.0,136111.0,9419500,0.0,0.0,America/Sao_Paulo
2024-09-05,136112.0,136656.0,135959.0,136502.0,7528700,0.0,0.0,America/Sao_Paulo
2024-09-06,136508.0,136653.0,134476.0,134572.0,7563300,0.0,0.0,America/Sao_Paulo
2024-09-09,134574.0,135250.0,134399.0,134737.0,6587600,0.0,0.0,America/Sao_Paulo
2024-09-10,134738.0,134738.0,133754.0,134320.0,8253500,0.0,0.0,America/Sao_Paulo
2024-09-11,134319.0,135087.0,133757.0,134677.0,7947300,0.0,0.0,America/Sao_Paulo
2024-09-12,134677.0,134777.0,133591.0,134029.0,7004900,0.0,0.0,America/Sao_Paulo
2024-09-13,134031.0,135879.0,134031.0,134882.0,8866000,0.0,0.0,America/Sao_Paulo
2024-09-16,134885.0,135715.0,134870.0,135118.0,6707000,0.0,0.0,America/Sao_Paulo
2024-09-17,135118.0,135118.0,134180.0,134960.0,7314500,0.0,0.0,America/Sao_Paulo
2024-09-18,134960.0,135203.0,133748.0,133748.0,9792800,0.0,0.0,America/Sao_Paulo
2024-09-19,133748.0,134759.0,133123.0,133123.0,9254500,0.0,0.0,America/Sao_Paulo
2024-09-20,133121.0,133128.0,130907.0,131065.0,13605800,0.0,0.0,America/Sao_Paulo
2024-09-23,131065.0,131065.0,130100.0,130568.0,9140800,0.0,0.0,America/Sao_Paulo
2024-09-24,130570.0,133073.0,130570.0,132156.0,9367100,0.0,0.0,America/Sao_Paulo
2024-09-25,132156.0,132982.0,131489.0,131586.0,10527200,0.0,0.0,America/Sao_Paulo
2024-09-26,131595.0,133313.0,131594.0,133010.0,11618300,0.0,0.0,America/Sao_Paulo
2024-09-27,133010.0,133923.0,132628.0,132730.0,9338900,0.0,0.0,America/Sao_Paulo
2024-09-30,132761.0,133120.0,131816.0,131816.0,9131600,0.0,0.0,America/Sao_Paulo
2024-10-01,131817.0,133405.0,131817.0,132495.0,9841100,0.0,0.0,America/Sao_Paulo
2024-10-02,132495.0,134922.0,132495.0,133515.0,9398700,0.0,0.0,America/Sao_Paulo
2024-10-03,133514.0,133514.0,131176.0,131672.0,9821200,0.0,0.0,America/Sao_Paulo
2024-10-04,131672.0,131936.0,131156.0,131792.0,7054700,0.0,0.0,America/Sao_Paulo
2024-10-07,131792.0,132943.0,131676.0,132018.0,7702100,0.0,0.0,America/Sao_Paulo
2024-10-08,132016.0,132016.0,130371.0,131512.0,9093200,0.0,0.0,America/Sao_Paulo
2024-10-09,131510.0,131520.0,129719.0,129962.0,9220400,0.0,0.0,America/Sao_Paulo
2024-10-10,129963.0,130418.0,129835.0,130353.0,7617300,0.0,0.0,America/Sao_Paulo
2024-10-11,130354.0,130354.0,129338.0,129992.0,7973300,0.0,0.0,America/Sao_Paulo
2024-10-14,129992.0,131220.0,129729.0,131005.0,8502100,0.0,0.0,America/Sao_Paulo
2024-10-15,131005.0,131457.0,130200.0,131043.0,7982900,0.0,0.0,America/Sao_Paulo
2024-10-16,131045.0,132233.0,130780.0,131750.0,10282800,0.0,0.0,America/Sao_Paulo
2024-10-17,131716.0,131716.0,129902.0,130793.0,7086000,0.0,0.0,America/Sao_Paulo
2024-10-18,130793.0,131725.0,130121.0,130499.0,8683700,0.0,0.0,America/Sao_Paulo
2024-10-21,130499.0,131124.0,130157.0,130362.0,7774900,0.0,0.0,America/Sao_Paulo
2024-10-22,130346.0,130346.0,129094.0,129721.0,5522000,0.0,0.0,America/Sao_Paulo
2024-10-23,129949.0,129949.0,128589.0,129233.0,7962200,0.0,0.0,America/Sao_Paulo
2024-10-24,129233.0,130130.0,128798.0,130067.0,8310600,0.0,0.0,America/Sao_Paulo
2024-10-25,130067.0,130529.0,129806.0,129893.0,8513300,0.0,0.0,America/Sao_Paulo
2024-10-28,129894.0,131421.0,129894.0,131213.0,7135300,0.0,0.0,America/Sao_Paulo
2024-10-29,131214.0,131765.0,130693.0,130730.0,7636400,0.0,0.0,America/Sao_Paulo
2024-10-30,130730.0,131027.0,130473.0,130639.0,7327100,0.0,0.0,America/Sao_Paulo
2024-10-31,130639.0,130798.0,129642.0,129713.0,9068100,0.0,0.0,America/Sao_Paulo
2024-11-01,129718.0,129902.0,128070.0,128121.0,9897900,0.0,0.0,America/Sao_Paulo
2024-11-04,128130.0,130609.0,128128.0,130515.0,9013500,0.0,0.0,America/Sao_Paulo
2024-11-05,130515.0,130769.0,129692.0,130661.0,8556100,0.0,0.0,America/Sao_Paulo
2024-11-06,130613.0,130670.0,128822.0,130341.0,10540900,0.0,0.0,America/Sao_Paulo
2024-11-07,130341.0,131319.0,129406.0,129682.0,10520800,0.0,0.0,America/Sao_Paulo
2024-11-08,129647.0,129647.0,126973.0,127830.0,13183200,0.0,0.0,America/Sao_Paulo
2024-11-11,127829.0,128095.0,127306.0,127874.0,8395300,0.0,0.0,America/Sao_Paulo
2024-11-12,127873.0,128210.0,127411.0,127698.0,9522100,0.0,0.0,America/Sao_Paulo
2024-11-13,127698.0,128100.0,126869.0,127734.0,12692800,0.0,0.0,America/Sao_Paulo
2024-11-14,127734.0,128423.0,127389.0,127792.0,13138300,0.0,0.0,America/Sao_Paulo
2024-11-18,127791.0,128277.0,127226.0,127768.0,10742000,0.0,0.0,America/Sao_Paulo
2024-11-19,127768.0,128579.0,127235.0,128197.0,9103600,0.0,0.0,America/Sao_Paulo
2024-11-21,128197.0,128197.0,126594.0,126922.0,10271900,0.0,0.0,America/Sao_Paulo
2024-11-22,126944.0,129126.0,126944.0,129126.0,9186200,0.0,0.0,America/Sao_Paulo
2024-11-25,129125.0,129495.0,128932.0,129036.0,14411200,0.0,0.0,America/Sao_Paulo
2024-11-26,129043.0,130361.0,129042.0,129922.0,9745200,0.0,0.0,America/Sao_Paulo
2024-11-27,129923.0,130283.0,127669.0,127669.0,12318800,0.0,0.0,America/Sao_Paulo
2024-11-28,127667.0,127668.0,124390.0,124610.0,12833100,0.0,0.0,America/Sao_Paulo
2024-11-29,124611.0,126056.0,123946.0,125668.0,16398000,0.0,0.0,America/Sao_Paulo
2024-12-02,125668.0,125901.0,124734.0,125236.0,11517200,0.0,0.0,America/Sao_Paulo
2024-12-03,125235.0,126417.0,125233.0,126139.0,9990000,0.0,0.0,America/Sao_Paulo
2024-12-04,126139.0,126720.0,125828.0,126087.0,9388600,0.0,0.0,America/Sao_Paulo
2024-12-05,126088.0,127989.0,126087.0,127858.0,9530800,0.0,0.0,America/Sao_Paulo
2024-12-06,127856.0,127872.0,125833.0,125946.0,11223300,0.0,0.0,America/Sao_Paulo
2024-12-09,125946.0,127542.0,125946.0,127210.0,9367300,0.0,0.0,America/Sao_Paulo
2024-12-10,127213.0,128511.0,127213.0,128228.0,9141300,0.0,0.0,America/Sao_Paulo
2024-12-11,128228.0,130899.0,127362.0,129593.0,13170900,0.0,0.0,America/Sao_Paulo
2024-12-12,129587.0,129587.0,125829.0,126042.0,13453200,0.0,0.0,America/Sao_Paulo
2024-12-13,126102.0,126290.0,124578.0,124612.0,11762700,0.0,0.0,America/Sao_Paulo
2024-12-16,124610.0,124956.0,123495.0,123560.0,11071100,0.0,0.0,America/Sao_Paulo
2024-12-17,123560.0,125301.0,123560.0,124698.0,17561100,0.0,0.0,America/Sao_Paulo
2024-12-18,124699.0,124699.0,120457.0,120772.0,19742800,0.0,0.0,America/Sao_Paulo
2024-12-19,120768.0,121770.0,120768.0,121188.0,13682900,0.0,0.0,America/Sao_Paulo
2024-12-20,121183.0,122209.0,120700.0,122102.0,18128200,0.0,0.0,America/Sao_Paulo
2024-12-23,122105.0,122105.0,120617.0,120767.0,9953300,0.0,0.0,America/Sao_Paulo
2024-12-26,120767.0,121612.0,120428.0,121078.0,8338500,0.0,0.0,America/Sao_Paulo
2024-12-27,121078.0,121609.0,120252.0,120269.0,8937000,0.0,0.0,America/Sao_Paulo
2024-12-30,120267.0,121050.0,120158.0,120283.0,8895300,0.0,0.0,America/Sao_Paulo
2025-01-02,120283.0,120782.0,119120.0,120125.0,9373600,0.0,0.0,America/Sao_Paulo
2025-01-03,120125.0,120356.0,118404.0,118533.0,9804400,0.0,0.0,America/Sao_Paulo
2025-01-06,118534.0,120322.0,118534.0,120022.0,9685600,0.0,0.0,America/Sao_Paulo
2025-01-07,120022.0,121713.0,120022.0,121163.0,11116400,0.0,0.0,America/Sao_Paulo
2025-01-08,121160.0,121160.0,119351.0,119625.0,10230700,0.0,0.0,America/Sao_Paulo
2025-01-09,119625.0,120145.0,119502.0,119781.0,6611500,0.0,0.0,America/Sao_Paulo
2025-01-10,119781.0,120052.0,118732.0,118856.0,9255500,0.0,0.0,America/Sao_Paulo
2025-01-13,118856.0,119729.0,118743.0,119007.0,8161500,0.0,0.0,America/Sao_Paulo
2025-01-14,119007.0,119451.0,118223.0,119299.0,9349300,0.0,0.0,America/Sao_Paulo
2025-01-15,119309.0,122988.0,119303.0,122650.0,11928800,0.0,0.0,America/Sao_Paulo
2025-01-16,122649.0,122660.0,120796.0,121234.0,11312100,0.0,0.0,America/Sao_Paulo
2025-01-17,121258.0,122674.0,121074.0,122350.0,10242300,0.0,0.0,America/Sao_Paulo
2025-01-20,122349.0,123098.0,121511.0,122543.0,4185300,0.0,0.0,America/Sao_Paulo
2025-01-21,122850.0,123462.0,122290.0,123338.0,7819600,0.0,0.0,America/Sao_Paulo
2025-01-22,123345.0,123865.0,122926.0,122972.0,9975100,0.0,0.0,America/Sao_Paulo
2025-01-23,122965.0,123958.0,122159.0,122483.0,9491400,0.0,0.0,America/Sao_Paulo
2025-01-24,122483.0,122908.0,122196.0,122447.0,7777800,0.0,0.0,America/Sao_Paulo
2025-01-27,122443.0,124862.0,122207.0,124862.0,11021500,0.0,0.0,America/Sao_Paulo
2025-01-28,124861.0,124881.0,123973.0,124056.0,8313500,0.0,0.0,America/Sao_Paulo
2025-01-29,124056.0,124767.0,123278.0,123432.0,7348500,0.0,0.0,America/Sao_Paulo
